Geneid	CaBR1	CaBR2	CaOLBR1	CaOLBR2	CaMeOH1	CaMeOH2	o2_12_19_br1_1	o2_12_19_br1_2	o2_12_19_br1	o2_12_19_br3_1	o2_12_19_br3_2	o2_12_19_br3	o2_12_19_mc2	o2_12_19_mc2_1	o2_12_19_mc2_2	o2_12_19_mc3_2	o2_12_19_mc3_1	o2_12_19_mc3	no_o2_12_21_br3_2	no_o2_12_21_br3_1	no_o2_12_21_br3	no_o2_12_21_mc11_2	no_o2_12_21_mc11_1	no_o2_12_21_mc11	no_o2_12_21_mc12_2	no_o2_12_21_mc12_1	no_o2_12_21_mc12	no_o2_12_22_br3	no_o2_12_22_br3_1	lowO2_br1	LaBR1	LaBR2	LaOLBR1	LaOLBR2	LaMeOH1	LaMeOH2	br_1	br_2	br_3	br_4	dup_exp_1	dup_exp_2	dup_exp_3	dup_exp_4
MEALZ_RS00005	653	1840	1250	1582	1955	1908	20	249	1213	19	174	2238	59	5	941	26	0	464	161	15	678	23	5	136	24	0	156	346	133	125	605	1361	1520	1498	2183	1888	565	573	496	606	249	174	161	133
MEALZ_RS00010	540	1458	1117	1415	1596	1414	19	281	1052	15	173	1781	40	6	504	20	0	216	90	8	232	9	0	83	3	1	82	209	105	98	462	1111	1466	1348	1569	1669	248	270	234	221	281	173	90	105
MEALZ_RS00015	351	785	575	832	537	445	7	138	596	10	126	832	41	4	395	12	2	223	86	8	307	16	3	134	10	2	89	137	67	52	419	842	888	790	657	891	227	219	181	191	138	126	86	67
MEALZ_RS00020	2242	5904	4177	5403	6804	6400	46	707	3054	54	559	4704	108	15	1539	63	7	840	244	26	715	59	6	294	34	2	272	708	283	228	2123	4220	5458	5136	5301	4503	433	373	307	365	707	559	244	283
MEALZ_RS00030	89	289	230	305	221	193	1	17	121	2	23	184	8	0	109	6	1	29	8	3	37	2	0	25	0	0	18	29	9	10	143	278	318	298	291	393	19	34	28	11	17	23	8	9
MEALZ_RS00035	189	503	398	491	299	331	8	86	496	7	87	814	23	2	630	9	2	223	70	8	288	13	2	54	6	2	53	146	42	65	225	495	507	497	359	379	161	146	142	218	86	87	70	42
MEALZ_RS00040	114	244	294	354	254	317	5	77	351	7	69	610	41	3	515	29	1	227	53	4	182	12	1	95	8	0	80	105	40	72	194	305	320	362	285	190	179	123	138	240	77	69	53	40
MEALZ_RS00045	74	157	191	260	182	243	9	77	358	4	66	444	37	4	377	24	1	208	16	4	87	13	0	97	7	2	86	101	34	69	225	416	219	299	255	189	120	127	131	114	77	66	16	34
MEALZ_RS00050	225	523	575	627	426	429	10	190	861	24	155	1108	49	12	729	38	3	359	75	5	242	57	2	251	24	5	204	246	108	71	589	874	617	753	561	446	352	399	420	283	190	155	75	108
MEALZ_RS00055	18	46	48	62	36	45	3	10	57	0	7	110	3	0	55	2	0	33	11	1	34	5	0	20	2	0	16	18	3	3	44	83	46	57	59	87	26	9	12	17	10	7	11	3
